omega,Re_Rin,Im_Rin
0.05,5990.429782990125,1451.4143659772203
0.06202531645569621,5778.37802666833,1758.207801250266
0.07405063291139241,5528.677250500998,2039.239866447047
0.08607594936708861,5245.579836051777,2290.881032136113
0.0981012658227848,4933.814988334301,2510.153776581966
0.11012658227848102,4598.471825070126,2694.784253566451
0.12215189873417721,4244.876621735478,2843.2336081709386
0.1341772151898734,3878.4679122272087,2954.7085303976187
0.14620253164556962,3504.6734272036592,3029.151465452185
0.15822784810126583,3128.7923812903714,3067.2115852030943
0.17025316455696204,2755.886355129516,3070.19817182764
0.1822784810126582,2390.681697481037,3040.018649286931
0.1943037974683544,2037.4856007397075,2979.103895177966
0.20632911392405062,1700.1177263108773,2890.323738580977
0.21835443037974683,1381.858309433464,2776.895775444825
0.23037974683544304,1085.4134057170857,2642.2905819372495
0.24240506329113926,812.897019690272,2490.1364501037647
0.25443037974683547,565.8295150090947,2324.1264296754257
0.2664556962025316,345.1511839278907,2147.9303559522473
0.27848101265822783,151.2493603115587,1965.1140023953712
0.29050632911392404,-16.00271708723777,1779.0672770369501
0.3025316455696202,-157.19746949862744,1592.942767134743
0.3145569620253164,-273.3371040104315,1409.6056388629393
0.3265822784810126,-365.7726570863955,1231.5953069207353
0.33860759493670883,-436.1400725805821,1061.0989853506153
0.35063291139240504,-486.29551014971616,899.9367468154652
0.3626582278481012,-518.2517098590408,749.5574444997255
0.3746835443037974,-534.1171546339858,611.0445640913603
0.3867088607594936,-536.0394246775184,485.1307803860709
0.39873417721518983,-526.1538899060421,372.21997122245875
0.41075949367088604,-506.5385809932713,272.41519759998084
0.42278481012658226,-479.1757782858282,185.551247486804
0.43481012658227847,-445.9206274334807,111.23028512427442
0.4468354430379747,-408.476778608838,48.85925439618124
0.4588607594936709,-368.3788878926698,-2.3122334497928563
0.47088607594936704,-326.98158119572116,-43.15464924225313
0.48291139240506326,-285.4543651831666,-74.62290447729154
0.49493670886075947,-244.78184060459043,-97.72312011823381
0.5069620253164557,-205.76849758368996,-113.48242877079794
0.5189873417721519,-169.04733589205324,-122.92226875976999
0.5310126582278482,-135.0915330919485,-127.03545028251398
0.5430379746835443,-104.22841228313183,-126.7671385249262
0.5550632911392405,-76.65498227222164,-122.99974095290375
0.5670886075949367,-52.454401699391326,-116.54159302549232
0.5791139240506329,-31.612758460483974,-108.11921035617873
0.5911392405063292,-14.035675962786627,-98.37283062347154
0.6031645569620253,0.4357127030702941,-87.85487579837536
0.6151898734177215,12.00974385095418,-77.0309711640874
0.6272151898734177,20.930407391218807,-66.28306774064524
0.6392405063291139,27.46495343874237,-55.914335051996815
0.6512658227848102,31.893004657739993,-46.15533324231798
0.6632911392405063,34.497224744276885,-37.171153176165475
0.6753164556962025,35.555542034726415,-29.06913914408539
0.6873417721518987,35.334872780185535,-21.90689256310943
0.6993670886075949,34.086254240300846,-15.700281453732806
0.7113924050632912,32.04127257582841,-10.431222498464614
0.7234177215189873,29.409652344116594,-6.055051305517953
0.7354430379746835,26.377860338220202,-2.5073322248690815
0.7474683544303797,23.108577965055474,0.2899937617271533
0.759493670886076,19.74089099801268,2.423195323259618
0.7715189873417722,16.391058664923,3.9821038274555622
0.7835443037974684,13.153727523979104,5.056242921589515
0.7955696202531646,10.103472742035041,5.731713215444588
0.8075949367088608,7.296558645804648,6.0887982906513285
0.819620253164557,4.772828087024344,6.200237269488651
0.8316455696202533,2.557645389524556,6.130098969206282
0.8436708860759494,0.6638269944707055,5.933188321307127
0.8556962025316456,-0.9064847233289038,5.654906005246896
0.8677215189873418,-2.1600442584196755,5.331488574340186
0.879746835443038,-3.110845051422255,4.9905460679862745
0.8917721518987342,-3.7786019328743636,4.651834082986113
0.9037974683544304,-4.187374001170712,4.328183510262232
0.9158227848101266,-4.364341269544059,4.026536065842324
0.9278481012658228,-4.338719863952372,3.749016651425608
0.939873417721519,-4.140818061893348,3.49402170719876
0.9518987341772152,-3.801223797914324,3.2572451742210413
0.9639240506329114,-3.350107423521076,3.03265514590703
0.9759493670886076,-2.816643168467011,2.813360191372806
0.9879746835443038,-2.228513149702315,2.5923669754333822
1.,-1.611507476112975,2.3632111310103454
