# Green's function G_{lmω}(r,r') for Teukolsky equation
# s=-2, l=2, m=2, a=0.0, r'=10.0M, r=30.0M
# Columns: ω  Re[G]  Im[G]  |G|  Re[ν]  Im[ν]
-2.12000000e+00  +8.4145725689788775e-01  -3.7939632432895083e+00  3.8861558649413386e+00  +2.0000000000000000e+00  +3.9222046493296756e+00
-2.10000000e+00  +2.4378686623544525e+00  -3.0526271342049740e+00  3.9066271943166475e+00  +2.0000000000000000e+00  +3.8830872370271479e+00
-2.08000000e+00  +3.5511558044380007e+00  -1.6770136180884072e+00  3.9272232203743749e+00  +2.0000000000000000e+00  +3.8439230158491307e+00
-2.06000000e+00  +3.9475230695888799e+00  +5.7526127553304440e-02  3.9479422032607938e+00  +2.0000000000000000e+00  +3.8047115761194639e+00
-2.04000000e+00  +3.5377087137321350e+00  +1.7988496393298901e+00  3.9687835627725470e+00  +2.0000000000000000e+00  +3.7654524540576841e+00
-2.02000000e+00  +2.3969879749329790e+00  +3.1894389304005810e+00  3.9897458619225494e+00  +2.0000000000000000e+00  +3.7261451302435296e+00
-2.00000000e+00  +7.5162509758805640e-01  +3.9397712514195664e+00  4.0108275705689911e+00  +2.0000000000000000e+00  +3.6867890278893327e+00
-1.98000000e+00  -1.0658586496019442e+00  +3.8885982031743653e+00  4.0320281058869352e+00  +2.0000000000000000e+00  +3.6473835109094388e+00
-1.96000000e+00  -2.6837873403649186e+00  +3.0375800315577894e+00  4.0533451538724927e+00  +2.0000000000000000e+00  +3.6079278817742821e+00
-1.94000000e+00  -3.7672894491670585e+00  +1.5528497964174004e+00  4.0747775747933774e+00  +2.0000000000000000e+00  +3.5684213791351347e+00
-1.92000000e+00  -4.0875977925200013e+00  -2.6723101508993191e-01  4.0963237334029623e+00  +2.0000000000000000e+00  +3.5288631752037309e+00
-1.90000000e+00  -3.5703580296404973e+00  -2.0519055262868666e+00  4.1179816352947665e+00  +2.0000000000000000e+00  +3.4892523728690170e+00
